college,url
Abraham Baldwin Agricultural College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/2714
Academy of Art University,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/3214
Adams State University,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/4124
Adelphi University,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/3217
Adrian College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/1604
AdventHealth University,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/3024
Agnes Scott College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/2717
Aiken Technical College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/962
Aims Community College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/1104
Alabama Agricultural and Mechanical University,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/1606
Alabama State University,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/1609
Alamance Community College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/595
Alaska Pacific University,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/1103
Albany College of Pharmacy and Health Sciences,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/1666
Albany State University,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/2719
Albertus Magnus College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/3184
Albion College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/1610
Albright College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/3218
Alcorn State University,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/2410
Alexandria Technical and Community College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/3627
Alfred University,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/3220
Alice Lloyd College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/1611
Allan Hancock College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/4196
Allegheny College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/3221
Alliant International University,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/4218
Alma College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/1834
Alpena Community College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/1835
Alverno College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/1836
Alvin Community College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/399
Amarillo College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/400
American International College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/3185
American Jewish University,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/3972
American River College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/4197
American University,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/393
Amherst College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/2354
Anderson University,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/4013
Andrew College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/4014
Andrews University,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/2881
Angelina College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/2729
Angelo State University,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/347
Anna Maria College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/772
Anne Arundel Community College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/954
Antelope Valley College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/4198
Antioch College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/1841
Appalachian State University,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/4015
Aquinas College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/2962
Arapahoe Community College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/838
Arcadia University,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/3401
Arizona State University,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/1094
Arizona State University West,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/103
Arizona Western College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/837
Arkansas Northeastern College,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/3548
Arkansas State University,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/568
Arkansas State University Mid-South,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/4507
Arkansas State University Three Rivers,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/1114
Arkansas State University: Beebe,https://apstudents.collegeboard.org/getting-credit-placement/search-policies/college/2730
